Name,Website,Organisation Type,Country,Countries of operation,Disability Innovation,Disability Innovation
Cine Para Todos,http://www.cineparatodos.gov.co/,Government initiative,Colombia,Colombia,"Vision, Sign language systems","Hearing, Vision"
Lazarillo,https://lazarillo.app/,For profit,Chile,Chile,"Vision, Navigation",Vision
Take A Hand,https://takeahand.co/,For profit,Chile,Chile,Prosthetics & orthotics,"Mobility, Appearance"
Dalil,http://dalil.daliltechnology.com/,For profit,Canada,Algeria,"Vision, Navigation",Vision
ACCESS,https://accesshearingaids.com/,For profit,Canada,Philippines,Hearing,Hearing
Nia Technologies,https://niatech.org/,Not for profit,Canada,Uganda,Prosthetics & orthotics,"Mobility, Appearance"
Partnerships for Inclusive Research and Learning (PIRL) Project,"https://oticlab.utoronto.ca/research-projects/pirl/#:~:text=PIRL%20is%20short%20for%20 Partnerships,3%20 year%2C%20SSHRC%20funded%20project.&text=The%20PIRL%20Network%20is%20a,various%20countries%20across%20the%20world.","For profit, Not for profit, Community based, Academic institution, Research institution",Canada,"United Kingdom, USA, Ethiopia, South Sudan, Kenya, Rwanda, Tanzania, South Africa, Cameroon, Nigeria, Ghana, Netherlands",Education,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
VRapeutic,https://myvrapeutic.com/,For profit,Egypt,"USA, Egypt",Digital therapy,"Mobility, Cognition, Mental health"
Prosfit,https://prosfit.com/,For profit,Bulgaria,"Rwanda, Bulgaria",Prosthetics & orthotics,"Mobility, Appearance"
Sunu,https://www.sunu.com/,For profit,Brazil,World,"Vision, Navigation",Vision
Lysa,https://www.caoguiarobo.com.br/,For profit,Brazil,Brazil,"Vision, Navigation",Vision
Livox,https://livox.com.br/en/,For profit,Brazil,"Peru, Brazil, Belgium, United Kingdom, USA, Italy, Portugal, France, Egypt, Sudan, Djibouti, Angola, South Africa, Saudi Arabia, United Arab Emirates, Yemen","Vision, Hearing, Communication","Mobility, Hearing, Vision, Communication"
Veever,https://veever.global/,For profit,Brazil,Brazil,Vision,Vision
Signa,https://www.signaedu.com/,For profit,Brazil,Brazil,"Hearing, Sign language systems",Hearing
Deaftronics (Pty) Ltd,https://deaftronics.com/,For profit,Botswana,Botswana,Hearing,Hearing
Light for the World,https://www.light-for-the-world.org/,Not for profit,Austria,"Germany, Switzerland, Czech Republic, Belgium, United Kingdom, USA, Ethiopia, Burkina Faso, Mozambique, South Sudan, Kenya, Uganda, Bangladesh, Nepal, Cambodia, India, Papua New Guinea, Bolivia, Democratic Republic of Congo, Rwanda, Tanzania",Mobility,Mobility
uSound,https://www.usound.co/es/,For profit,Argentina,Argentina,Screening & diagnostics services,Hearing
GiveMove,http://www.givemove.com/,For profit,Argentina,Argentina,Mobility,Mobility
Incluyeme.com,https://www.incluyeme.com/,For profit,Argentina,"Argentina, Mexico, Colombia, Ecuador, Peru, Chile, Brazil, Paraguay, Uruguay",Inclusive employment,"Mobility, Hearing, Vision, Appearance, Cognition, Social and physical environments"
